ticket_id,action,from_queue,to_queue,timestamp,reason
T001,分配,售前咨询排队,售前咨询处理,2025-06-01T09:02:00,VIP优先
T002,分配,售前咨询排队,售前咨询处理,2025-06-01T09:45:00,VIP插队后延迟
T003,分配,售前咨询排队,售前咨询处理,2025-06-01T09:07:00,VIP优先
T004,分配,售前咨询排队,售前咨询处理,2025-06-01T09:50:00,VIP插队后延迟
T005,超时升级,技术支持排队,投诉处理排队,2025-06-01T09:30:00,等待超时30分钟
T006,超时升级,技术支持排队,投诉处理排队,2025-06-01T09:35:00,等待超时30分钟
T007,超时升级,技术支持排队,投诉处理排队,2025-06-01T09:40:00,等待超时30分钟
T011,分配,售后退款排队,售后退款处理,2025-06-01T08:05:00,VIP优先
T012,分配,售后退款排队,售后退款处理,2025-06-01T09:00:00,正常分配
T014,分配,售前咨询排队,售前咨询处理,2025-06-01T09:11:00,SVIP优先
T021,分配,投诉处理排队,投诉处理处理,2025-06-01T08:30:00,正常分配
T022,分配,投诉处理排队,投诉处理处理,2025-06-01T09:40:00,正常分配
T021,超时升级,投诉处理处理,主管处理,2025-06-01T09:00:00,处理超时升级至主管
T023,超时升级,投诉处理排队,主管处理,2025-06-01T10:30:00,投诉处理队列拥塞导致超时
