记录ID,场景描述,n,k,计算类型,提交结果,期望值,边界标签,状态,问题说明,备注,来源行号,数据来源,是否重复样本,关联晚到附件
CUR-001,从8个不同元素中选3个的组合,8,3,组合,56,56,,已处理,,,行12,批次12原始表,是,3
CUR-002,6个不同元素的全排列,6,6,排列,720,720,全选/全集,已处理,,,行15,批次12原始表,否,3
CUR-003,从10个元素中选5个排成一列,10,5,排列,30240,30240,,已处理,,,行18,批次12原始表,否,3
CUR-004,从12人中选0人参加活动,12,0,组合,1,1,空选,已处理,,,行21,批次12原始表,否,3
CUR-005,"n=5,k=5的组合",5,5,组合,1,1,全选/全集,已处理,,,行24,批次12原始表,否,3
CUR-006,从7个球中选4个的组合数,7,4,组合,35,35,,已处理,,,行27,批次12原始表,否,3
CUR-007,9个元素中选2个的排列,9,2,排列,72,72,,已处理,,,行30,批次12原始表,否,3
CUR-008,子集总数(n=5),5,,2^n,32,32,,已处理,,,行33,批次12原始表,否,3
CUR-009,从8个不同元素中选3个的组合,8,3,组合,56,56,,已处理,,,行36,批次12原始表-重复,是,3
CUR-010,k>n的组合(10选15),10,15,组合,0,0,越界(k>n),已处理,,,行39,批次12原始表,否,3
CUR-011,从11人中选5人且含特定2人,11,5,约束组合,126,126,带约束,人工改判,,约束组合/排列需人工复核公式,行42,批次12原始表,否,3
CUR-012,n=0的排列数,0,0,排列,1,1,零值、空选、全选/全集,已处理,,,行45,批次12原始表,否,3
CUR-013,从8个不同元素中选3个的组合,8,3,组合,56,56,,已处理,,,行48,另一来源表,是,3
CUR-014,20个元素选3个的组合,20,3,组合,1140,1140,,已处理,,,行51,批次12原始表,否,3
CUR-015,带约束的排列（甲不站排头）,6,6,约束排列,504,504,全选/全集、带约束,人工改判,,约束组合/排列需人工复核公式,行54,批次12原始表,否,3
