分类,项目,数值/内容,备注
重试队列统计,总数,10,
重试队列统计,待处理,5,
重试队列统计,处理中,0,
重试队列统计,重试中,3,
重试队列统计,成功,0,
重试队列统计,失败,0,
重试队列统计,人工干预,1,
重试队列统计,死信,1,
死信统计,总数,1,
死信统计,待处理,1,
死信统计,已解决,0,
死信统计,已驳回,0,
死信统计,已复活,0,
脏数据统计,总数,5,
脏数据统计,待处理,5,
脏数据统计,审核中,0,
脏数据统计,已解决,0,
补偿统计,总数,1,
补偿统计,总金额,5000,
补偿统计,待审批,1,
补偿统计,已批准,0,
补偿统计,处理中,0,
补偿统计,已完成,0,
问题TOP1,SYSTEM_ERROR,1,系统内部错误，需要技术人员排查
问题TOP2,NETWORK_ERROR,1,网络连接超时或中断，建议检查网络配置后重试
问题TOP3,MISSING_DATA,1,缺少必填字段，需要补充完整数据后重试
问题TOP4,AMOUNT_CONFLICT,1,金额不一致，需要财务对账确认
问题TOP5,AMOUNT_CONFLICT,2,金额存在冲突
问题TOP6,NAME_CHANGED,1,名称发生变更
问题TOP7,MISSING_FIELDS,1,数据字段不完整
恢复建议,建议1,有 1 个任务等待人工处理，请优先处理人工干预队列,
恢复建议,建议2,死信队列中有 1 条记录待处理，建议排查原因后决定是否复活,
恢复建议,建议3,有 3 个任务正在自动重试中，请关注重试成功率,
