record_id,model_version,prompt,response_a,response_b,human_label,rm_prediction,annotator
rec-001,v1.2,"用一句话解释递归","函数调用自身解决更小规模同类问题。","递归是一种函数通过调用自身来处理更小规模同类子问题直到抵达基准条件从而完成求解的技术。",a,b,alice
rec-002,v1.2,"什么是闭包","闭包是函数与其词法环境的组合。","闭包是指有权访问另一个函数作用域中变量的函数，通常在嵌套函数中创建，使得内部函数可以访问外部函数的变量即使外部函数已执行完毕。",a,b,bob
rec-003,v1.2,"列出三种排序算法","快排、归并、堆排序。","常见的排序算法有很多，比如快速排序、归并排序和堆排序，它们各有优劣，时间复杂度也不同。",a,b,alice
rec-004,v1.2,"HTTP 状态码 404 表示什么","资源未找到。","404 是 HTTP 状态码之一，表示客户端能够与服务器通信，但服务器找不到请求的资源。",a,b,carol
rec-005,v1.2,"Git 如何撤销已暂存的文件","git reset HEAD <file>。","可以使用 git reset HEAD 命令将文件移出暂存区，从而撤销之前的 git add 操作，使其回到未暂存状态。",a,b,bob
rec-006,v1.2,"Python 列表和元组有什么区别","列表可变，元组不可变。","列表是可变序列，元组是不可变序列，列表用方括号元组用圆括号，元组通常用于固定数据。",a,a,alice
rec-007,v1.2,"解释什么是 API","应用编程接口。","API 是应用程序编程接口的缩写，是一组定义和协议，用于构建和集成应用软件，使不同系统之间可以相互通信。",a,b,carol
rec-008,v1.2,"Docker 是什么","容器化平台。","Docker 是一个开源的应用容器引擎，让开发者可以打包应用及依赖到一个可移植的容器中然后发布到任何流行 Linux 机器上。",a,b,alice
rec-009,v1.2,"什么是递归的基准条件","停止递归的条件。","递归的基准条件是递归函数不再进行递归调用而是直接返回结果的判断条件，缺少它会导致无限递归栈溢出。",a,a,bob
rec-010,v1.2,"JSON 是什么格式","轻量级数据交换格式。","JSON 是一种轻量级的数据交换格式，易于人阅读和编写，同时也易于机器解析和生成，基于 JavaScript 语法的子集。",a,b,carol
rec-011,v1.2,"SQL 中 JOIN 的作用","连接多表查询。","JOIN 用于根据两个或多个表之间的逻辑关系将它们的行组合起来进行查询，包括 INNER、LEFT 等多种类型。",a,b,alice
rec-012,v1.2,"什么是异步编程","不阻塞主线程执行。","异步编程是一种并发编程模型，允许程序在等待某些操作完成时继续执行其他任务而不阻塞主线程，常用回调和 Promise 实现。",a,b,bob
