订单编号,下单时间,部门,商品名称,城市,单价,数量,金额,经办人,备注,old_code,legacy_id
SO20250001,2025-02-07 00:00:00,市场部,便利贴,深圳,115.49,189,21827.61,李明,,,
SO20250002,2025-05-29 00:00:00,市场部,回形针,武汉,20.73,24,497.52,王芳,,,
SO20250003,2025-03-10 00:00:00,运营部,回形针,北京,282.82,184,52038.88,赵强,,,
SO20250004,2025-05-29 00:00:00,人事部,订书机,南京,296.69,2,593.38,王芳,,,
SO20250005,2025-04-28 00:00:00,财务部,便利贴,广州,111.58,196,21869.68,张伟,,,
SO20250006,2025-02-05 00:00:00,市场部,白板笔,上海,182.69,89,16259.41,陈静,,,
SO20250007,2025-03-18 00:00:00,行政部,A4打印纸,南京,270.43,97,26231.71 元,李明,,,
SO20250008,2025-05-31 00:00:00,财务部,回形针,成都,290.79,181,52632.99,李明,,,
SO20250009,2025-01-21 00:00:00,销售部,订书机,杭州,492.68,60,29560.8,李明,【补录】客服手工补，操作人李明，后补说明,,
SO20250010,2025-05-06 00:00:00,销售部,计算器,广州,188.24,54,10164.96,赵强,,,
SO20250011,2025-03-19 00:00:00,销售部,签字笔,广州,269.4,63,16972.2,王芳,,,
SO20250012,2025-05-08 00:00:00,人事部,便利贴,深圳,343.88,197,67744.36,李明,,,
SO20250013,2025-03-09 00:00:00,行政部,A4打印纸,成都,约203.58,17,3460.86,王芳,,,
SO20250014,2025-06-04 00:00:00,销售部,计算器,深圳,329.44,102,33602.88 元,赵强,,,
SO20250015,2025-05-07 00:00:00,技术部,便利贴,广州,127.08,144,18299.52,陈静,,,
SO20250016,2025-03-18 00:00:00,销售部,回形针,武汉,449.42,103,46290.26,张伟,,,
SO20250017,2025-03-07 00:00:00,技术部,胶带,南京,50.0,约13箱,650.0,李明,,,
SO20250018,2025-02-18 00:00:00,销售部,文件夹,武汉,300.22,99,29721.78,刘洋,【补录】线下订单转线上，操作人刘洋，后补说明,,
SO20250019,2025-05-25 00:00:00,财务部,胶带,北京,341.74,30,10252.2,赵强,,LEG-80381,2019-5371
SO20250020,2025-04-07 00:00:00,市场部,便利贴,武汉,83.29,1,83.29,赵强,,,
SO20250021,2025-03-18 00:00:00,运营部,文件夹,上海,435.91,77,33565.07 元,赵强,,,
SO20250022,2025-05-19 00:00:00,运营部,订书机,广州,190.09,42,7983.78,陈静,,,
SO20250023,2025-05-25 00:00:00,市场部,回形针,成都,246.86,29,7158.94,张伟,修正：原金额填错，更正为7158.94元，原单保留备查,,
SO20250024,2025-03-12 00:00:00,市场部,订书机,上海,47.4,125,5925.0,李明,,,
SO20250025,2025-05-26 00:00:00,行政部,文件夹,广州,331.58,141,46752.78,王芳,,,
SO20250026,2025-03-18 00:00:00,运营部,回形针,武汉,约482.36,139,67048.04,赵强,,,
SO20250027,2025-03-02 00:00:00,销售部,便利贴,武汉,497.6,167,83099.2,张伟,【补录】客服手工补，操作人张伟，后补说明,,
SO20250028,2025-02-09 00:00:00,技术部,订书机,上海,172.35,151,26024.85 元,陈静,,,
