session_id,customer_text,robot_text,annotation,confidence,remark,operator,date
S001,你们这个商品质量也太差了吧，刚用三天就坏了！,非常抱歉给您带来不好的体验，请问具体是什么问题呢？,complaint,0.92,用户情绪激动,张三,2026-06-10
S002,我想申请退货退款,好的，请告知您的订单号,refund,0.98,,李四,2026-06-10
S003,这个尺码不太合适，能不能换一个？,可以的，换货需要您寄回原商品,exchange,0.95,用户说的是M号换L号,王五,2026-06-11
S004,请问你们的营业时间是几点到几点？,我们的客服时间是9:00-22:00,inquiry,0.99,正常咨询,赵六,2026-06-11
S005,我的账号登不上去了，提示密码错误,请尝试通过手机号找回密码,technical_support,0.97,,钱七,2026-06-11
S006,这什么垃圾东西，再也不买了！,非常抱歉让您失望了，请问是哪里不满意呢？,complaint,0.94,情绪很激烈 注意安抚,张三,2026-06-12
S007,帮我查一下订单什么时候发货,您好，请提供订单号,refund,0.87,注意：这里标注错了，应该是inquiry,李四补录,2026-06-12
S008,我要退款退款退款！太生气了,非常理解您的心情，请先冷静一下,other,0.76,用户重复说退款，但是other标注有问题,王五,2026-06-12
S009,你们的优惠券怎么用不了？,请问是哪张优惠券呢？我帮您查看,inquiry,0.93,正常咨询,赵六,2026-06-12
S010,这个链接打不开了 404错误,请尝试清除浏览器缓存后重试,technical_support,0.96,,钱七,2026-06-12
S011,上次的问题还没解决！已经三天了,非常抱歉，我帮您加急处理,complaint,0.91,老问题未解决 用户有投诉倾向,张三,2026-06-12
S012,请问怎么联系人工客服,您现在就是在和人工客服对话哦~,inquiry,0.98,,李四,2026-06-12
S013,想退款 但是订单超过7天了 怎么办,超过7天无理由退款的话需要特殊申请,refund,0.95,需要主管审批,王五,2026-06-12
S014,颜色发错了，我要的是红色给我发的黑色,非常抱歉发错颜色了，我们可以为您换货,exchange,0.97,发错颜色 明确换货需求,赵六,2026-06-12
S015,你们这客服也太慢了吧 等了半小时,非常抱歉让您久等了，现在为您处理,complaint,0.89,抱怨等待时间,钱七补录,2026-06-12
S016,这个功能怎么使用？有没有教程,有的，请查看我们的帮助中心,technical_support,0.92,,张三,2026-06-12
S017,我就随便问问,好的，有问题随时找我哦,other,0.65,不确定意图 标注为other,李四,2026-06-12
S018,退款申请提交了什么时候能处理,退款申请一般1-3个工作日处理完成,inquiry,0.88,注意：实际是询问退款进度 应该是inquiry,王五,2026-06-12
S019,我的快递显示签收但是我没收到,我帮您联系快递查询一下,complaint,0.86,物流问题 可能有投诉风险,赵六,2026-06-12
S020,500块钱的东西就这个质量？真的服了,非常抱歉，我们的产品让您失望了,complaint,0.95,高价值商品 客户很不满,钱七,2026-06-12
