draft_id,team_name,raw_score,raw_rank,adjusted_score,adjusted_rank,stability_index,rank_delta,error_magnitude,is_warning,warning_reason,review_status,reviewer,review_opinion,calc_note
1,队伍A_正常高分,95.5,1,57.3,1,1.0,0,0.0,否,,pending,,,"[分数调整]raw_score=95.5 * score_weight=0.6 = 57.300000 | [稳定性计算]原始排名=1, 调整后排名=1, 差值delta=0; |delta|/(2.0*(N-1)) = 0/24.0 = 0.000000; stability_index = 1 - 0.000000 = 1.000000; error_magnitude = 0/13 = 0.000000"
2,队伍B_正常高分,92.0,2,55.199999999999996,2,1.0,0,0.0,否,,pending,,,"[分数调整]raw_score=92.0 * score_weight=0.6 = 55.200000 | [稳定性计算]原始排名=2, 调整后排名=2, 差值delta=0; |delta|/(2.0*(N-1)) = 0/24.0 = 0.000000; stability_index = 1 - 0.000000 = 1.000000; error_magnitude = 0/13 = 0.000000"
3,队伍C_同分边界1,88.0,3,52.8,5,0.9166666666666666,2,0.15384615384615385,是,误差幅度0.1538超过阈值0.15，排名波动2超过警戒范围,pending,,,"[分数调整]raw_score=88.0 * score_weight=0.6 = 52.800000 | [稳定性计算]原始排名=3, 调整后排名=5, 差值delta=2; |delta|/(2.0*(N-1)) = 2/24.0 = 0.083333; stability_index = 1 - 0.083333 = 0.916667; error_magnitude = 2/13 = 0.153846"
4,队伍D_同分边界2,88.0,3,52.8,5,0.9166666666666666,2,0.15384615384615385,是,误差幅度0.1538超过阈值0.15，排名波动2超过警戒范围,pending,,,"[分数调整]raw_score=88.0 * score_weight=0.6 = 52.800000 | [稳定性计算]原始排名=3, 调整后排名=5, 差值delta=2; |delta|/(2.0*(N-1)) = 2/24.0 = 0.083333; stability_index = 1 - 0.083333 = 0.916667; error_magnitude = 2/13 = 0.153846"
5,队伍E_同分边界3,88.0,3,52.8,5,0.9166666666666666,2,0.15384615384615385,是,误差幅度0.1538超过阈值0.15，排名波动2超过警戒范围,pending,,,"[分数调整]raw_score=88.0 * score_weight=0.6 = 52.800000 | [稳定性计算]原始排名=3, 调整后排名=5, 差值delta=2; |delta|/(2.0*(N-1)) = 2/24.0 = 0.083333; stability_index = 1 - 0.083333 = 0.916667; error_magnitude = 2/13 = 0.153846"
6,队伍F_正常中分,78.5,6,47.1,6,1.0,0,0.0,否,,pending,,,"[分数调整]raw_score=78.5 * score_weight=0.6 = 47.100000 | [稳定性计算]原始排名=6, 调整后排名=6, 差值delta=0; |delta|/(2.0*(N-1)) = 0/24.0 = 0.000000; stability_index = 1 - 0.000000 = 1.000000; error_magnitude = 0/13 = 0.000000"
7,队伍G_正常中分,72.0,7,43.199999999999996,7,1.0,0,0.0,否,,pending,,,"[分数调整]raw_score=72.0 * score_weight=0.6 = 43.200000 | [稳定性计算]原始排名=7, 调整后排名=7, 差值delta=0; |delta|/(2.0*(N-1)) = 0/24.0 = 0.000000; stability_index = 1 - 0.000000 = 1.000000; error_magnitude = 0/13 = 0.000000"
8,队伍H_排名跳跃大_误差过大,68.0,12,40.8,8,0.8333333333333334,-4,0.3076923076923077,是,误差幅度0.3077超过阈值0.15，排名波动-4超过警戒范围,reviewing,TA张老师,原始排名12可能是录入错误，进入复核确认,"[分数调整]raw_score=68.0 * score_weight=0.6 = 40.800000 | [稳定性计算]原始排名=12, 调整后排名=8, 差值delta=-4; |delta|/(2.0*(N-1)) = 4/24.0 = 0.166667; stability_index = 1 - 0.166667 = 0.833333; error_magnitude = 4/13 = 0.307692"
9,队伍I_正常中分,65.0,9,39.0,9,1.0,0,0.0,否,,pending,,,"[分数调整]raw_score=65.0 * score_weight=0.6 = 39.000000 | [稳定性计算]原始排名=9, 调整后排名=9, 差值delta=0; |delta|/(2.0*(N-1)) = 0/24.0 = 0.000000; stability_index = 1 - 0.000000 = 1.000000; error_magnitude = 0/13 = 0.000000"
13,队伍M_缺失排名,60.0,,36.0,10,1.0,0,0.0,否,,pending,,,"[分数调整]raw_score=60.0 * score_weight=0.6 = 36.000000 | [稳定性计算]原始排名缺失，使用调整后排名作为基准; 原始排名=10, 调整后排名=10, 差值delta=0; |delta|/(2.0*(N-1)) = 0/24.0 = 0.000000; stability_index = 1 - 0.000000 = 1.000000; error_magnitude = 0/13 = 0.000000"
10,队伍J_低分边界,55.5,10,33.3,11,0.9583333333333334,1,0.07692307692307693,否,,pending,,,"[分数调整]raw_score=55.5 * score_weight=0.6 = 33.300000 | [稳定性计算]原始排名=10, 调整后排名=11, 差值delta=1; |delta|/(2.0*(N-1)) = 1/24.0 = 0.041667; stability_index = 1 - 0.041667 = 0.958333; error_magnitude = 1/13 = 0.076923"
11,队伍K_负分截断,-5.0,11,0.0,13,0.9166666666666666,2,0.15384615384615385,是,误差幅度0.1538超过阈值0.15，排名波动2超过警戒范围,pending,,,"[分数调整]原始分数-5.0为负，截断为0; raw_score=0.0 * score_weight=0.6 = 0.000000 | [稳定性计算]原始排名=11, 调整后排名=13, 差值delta=2; |delta|/(2.0*(N-1)) = 2/24.0 = 0.083333; stability_index = 1 - 0.083333 = 0.916667; error_magnitude = 2/13 = 0.153846"
12,队伍L_缺失分数,,13,0.0,13,1.0,0,0.0,否,,pending,,,"[分数调整]原始分数缺失，按0处理 | [稳定性计算]原始排名=13, 调整后排名=13, 差值delta=0; |delta|/(2.0*(N-1)) = 0/24.0 = 0.000000; stability_index = 1 - 0.000000 = 1.000000; error_magnitude = 0/13 = 0.000000"
