"滨海步道风场碰撞预审 - 复核报告"
"案件编号","BH-2024-001"
"位置","滨海步道K3+200段北侧"
"状态","approved"
"碰撞对象类型","wind_turbine"
"碰撞摘要","17号风机基础外缘侵入步道红线0.8米，存在行人刮碰风险"
"最后操作人","测试员"
"更新时间","2026-06-11T11:32:38.646Z"

"== 巡检照片 =="
"照片ID","原始行号","拍摄时间","原始说明","是否晚到"
"photo-001-1","3","2024-03-15T10:15:00Z","2024-03-15现场巡检：风机基础西北侧距步道边缘实测0.8m，低于安全距离2.0m要求","否"
"photo-001-2","7","2024-03-15T10:22:00Z","二维表第7行：基础直径12.4m，步道红线坐标E121.5432/N31.7891，实测侵入0.8m","否"
"photo-001-3","12","2024-03-15T10:30:00Z","行人视角可见基础突出部分，无警示标识。原始表第12行，对象ID obj-001-2","否"

"== 碰撞对象 =="
"对象ID","名称","类型","风险等级","来源行号","坐标","描述"
"obj-001-1","17号风机基础","wind_turbine","high","7","121.5432,31.7891","风机基础外缘侵入步道红线0.8米，来源巡检照片第7行"
"obj-001-2","基础突出构筑物","wind_turbine","medium","12","121.5433,31.7892","基础附属突出物，来源巡检照片第12行，无警示标识"

"== 时间轴 =="
"时间","类型","标题","描述","是否缺段"
"2024-03-15T09:30:00Z","create","案件创建","系统巡检异常自动创建预审案件","否"
"2024-03-15T16:40:00Z","inspection","现场巡检照片上传（3张）","现场同事张工上传巡检照片，原始二维表第3、7、12行","否"
"2024-03-17T11:00:00Z","review","初审完成","初审人员标记为待复核，建议运维工程师现场确认","否"
"2024-03-18T08:30:00Z","attachment","晚到附件上传","现场补充测量报告晚到，尚未与结论关联","否"
"2026-06-11T11:32:20.161Z","rejudge","改判：pending → approved","测试通过 | 异常说明：测试异常说明 | 已关联晚到附件 1 个","否"
"2026-06-11T11:32:38.645Z","rejudge","改判：approved → approved","测试通过 | 异常说明：测试异常说明 | 已关联晚到附件 1 个","否"

"== 附件描述 =="
"完整复核报告导出"
