show_id,contract_id,city,show_date,gross_box_office,refunds,notes
SHOW001,CTR001,北京,2026-01-15,1200000,50000,票房好，不会触发保底
SHOW002,CTR001,上海,2026-01-22,800000,,refunds为空值
SHOW003,CTR001,广州,2026-01-29,600000,80000,接近保底
SHOW004,CTR001,成都,2026-02-05,300000,50000,票房差，保底触发
SHOW005,CTR001,深圳,2026-02-12,700000,,空值
SHOW006,CTR002,武汉,2026-03-01,900000,30000,赞助抵扣在分成后
SHOW007,CTR002,杭州,2026-03-08,500000,,

,CTR002,西安,2026-03-15,400000,,show_id为空，跳过
SHOW009,CTR003,南京,2026-04-01,150000,200000,退票跨场：退票>票房
SHOW010,CTR003,苏州,2026-04-08,800000,10000,承接跨场退票
SHOW011,CTR003,无锡,2026-04-15,600000,5000,
SHOW012,CTR003,常州,2026-04-22,100000,120000,退票超过票房

