_source,_processing_status,_context_id,project_code,_src_project_code,project_name,_src_project_name,quantity,_src_quantity,unit,_src_unit,unit_price,_src_unit_price,total_price,_src_total_price,tax_rate,_src_tax_rate,_unmapped_备注,_unmapped_说明,_unmapped_来源系统,_record_index,total_price_status,total_price_calculated,total_price_expected,total_price_anomaly,total_price_record_id,tax_amount_status,tax_amount_calculated,tax_amount_expected,tax_amount_anomaly,tax_amount_record_id,_overall_status,unit_cost_status,unit_cost_calculated,unit_cost_expected,unit_cost_anomaly,unit_cost_record_id
,字段已映射,,XM001,项目编码,混凝土浇筑,项目名称,100,工程量,m³,单位,350.0,单价,35000.0,合价,13%,税率,正常数据,,,0,通过,35350.0,35000.0,,7e8763f5bd,失败,4550.0,35000.0,数值偏差,7e8825c137,失败,失败,350.0,35000.0,数值偏差,01c595ba43
,字段已映射,,XM002,项目编码,钢筋绑扎,项目名称,50,工程量,t,单位,5800.0,单价,290000.0,合价,13%,税率,正常数据,,,1,通过,292900.0,290000.0,,5cab3bfe52,失败,37700.0,290000.0,数值偏差,2825ffb42b,失败,失败,5800.0,290000.0,数值偏差,e981bdefd1
,字段已映射,,XM003,项目编码,模板工程,项目名称,200,工程量,m²,单位,85.0,单价,17000.0,合价,13%,税率,正常数据,,,2,通过,17170.0,17000.0,,8948a73fd8,失败,2210.0,17000.0,数值偏差,7b97b56424,失败,失败,85.0,17000.0,数值偏差,54e37c843b
,字段已映射,,XM004,项目编码,脚手架,项目名称,150,工程量,m²,单位,120.0,单价,18000.0,合价,13%,税率,正常数据,,,3,通过,18180.0,18000.0,,81da6635bc,失败,2340.0,18000.0,数值偏差,9a73cba976,失败,失败,120.0,18000.0,数值偏差,3bf7442a7c
,字段已映射,,XM005,项目编码,防水工程,项目名称,80,工程量,m²,单位,280.0,单价,22400.0,合价,9%,税率,税率差异,,,4,通过,22624.0,22400.0,,e1d5d337aa,失败,2016.0,22400.0,数值偏差,9a84b9d247,失败,失败,280.0,22400.0,数值偏差,5068fbc363
,字段已映射,,XM006,项目编码,土方开挖,项目名称,500,工程量,m³,单位,45.0,单价,22500.0,合价,9%,税率,正常数据,,,5,通过,22725.0,22500.0,,09f4c821e7,失败,2025.0,22500.0,数值偏差,fec3932b5c,失败,失败,45.0,22500.0,数值偏差,abcf7a8cca
,字段已映射,,XM007,项目编码,管道安装,项目名称,200,工程量,m,单位,180.0,单价,36000.0,合价,13%,税率,正常数据,,,6,通过,36360.0,36000.0,,c43a85c736,失败,4680.0,36000.0,数值偏差,5bf78c4a8d,失败,失败,180.0,36000.0,数值偏差,b8e1b05f6d
,字段已映射,,XM008,项目编码,电气布线,项目名称,300,工程量,m,单位,95.0,单价,28500.0,合价,13%,税率,正常数据,,,7,通过,28785.0,28500.0,,7e618e1206,失败,3705.0,28500.0,数值偏差,996436e9de,失败,失败,95.0,28500.0,数值偏差,2723e94c27
,字段已映射,,XM009,项目编码,设备基础,项目名称,30,工程量,m³,单位,420.0,单价,12600.0,合价,13%,税率,正常数据,,,8,通过,12726.0,12600.0,,54ec81f357,失败,1638.0,12600.0,数值偏差,3ce4937d18,失败,失败,420.0,12600.0,数值偏差,3a93036b99
,字段已映射,,XM010,项目编码,地面找平,项目名称,120,工程量,m²,单位,65.0,单价,7800.0,合价,13%,税率,正常数据,,,9,通过,7878.0,7800.0,,10148fadb4,失败,1014.0,7800.0,数值偏差,46cccbea71,失败,失败,65.0,7800.0,数值偏差,029aec422b
