归并组ID,规范位置,记录数,重复投诉数,归并状态,投诉状态,归并证据,处理备注,下一步操作提示,归并时间,包含记录ID,原始位置写法
GRP202606178983E7,人民公园东门出口处,5,4,已归并,重复投诉,"[REC001]↔[REC002] 文本字符重叠度 0.75 >= 0.6 (综合分=0.93)
[REC001]↔[REC002] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.93)
[REC001]↔[REC002] 关键词匹配: 人民公园, 东 (综合分=0.93)
[REC001]↔[REC002] 坐标距离 1.4米 <= 50.0米 (综合分=0.93)
[REC001]↔[REC002] ⚠️ 距离极近(1.4米)，需人工确认是否为相邻不同点位 (综合分=0.93)
[REC001]↔[CMP001] 文本字符重叠度 1.00 >= 0.6 (综合分=1.00)
[REC001]↔[CMP001] 最长公共子序列相似度 1.00 >= 0.6 (综合分=1.00)
[REC001]↔[CMP001] 关键词匹配: 人民公园, 东 (综合分=1.00)
[REC001]↔[CMP002] 文本字符重叠度 0.75 >= 0.6 (综合分=0.92)
[REC001]↔[CMP002] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.92)
[REC001]↔[CMP002] 关键词匹配: 人民公园, 东 (综合分=0.92)
[REC001]↔[REC202606170001] 文本字符重叠度 0.88 >= 0.6 (综合分=0.96)
[REC001]↔[REC202606170001] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.96)
[REC001]↔[REC202606170001] 关键词匹配: 人民公园, 东 (综合分=0.96)
[REC002]↔[CMP001] 文本字符重叠度 0.75 >= 0.6 (综合分=0.92)
[REC002]↔[CMP001] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.92)
[REC002]↔[CMP001] 关键词匹配: 人民公园, 东 (综合分=0.92)
[REC002]↔[CMP002] 文本字符重叠度 1.00 >= 0.6 (综合分=1.00)
[REC002]↔[CMP002] 最长公共子序列相似度 1.00 >= 0.6 (综合分=1.00)
[REC002]↔[CMP002] 关键词匹配: 人民公园, 东 (综合分=1.00)
[REC002]↔[REC202606170001] 文本字符重叠度 0.86 >= 0.6 (综合分=0.95)
[REC002]↔[REC202606170001] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.95)
[REC002]↔[REC202606170001] 关键词匹配: 人民公园, 东 (综合分=0.95)
[CMP001]↔[CMP002] 文本字符重叠度 0.75 >= 0.6 (综合分=0.92)
[CMP001]↔[CMP002] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.92)
[CMP001]↔[CMP002] 关键词匹配: 人民公园, 东 (综合分=0.92)
[CMP001]↔[REC202606170001] 文本字符重叠度 0.88 >= 0.6 (综合分=0.96)
[CMP001]↔[REC202606170001] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.96)
[CMP001]↔[REC202606170001] 关键词匹配: 人民公园, 东 (综合分=0.96)
[CMP002]↔[REC202606170001] 文本字符重叠度 0.86 >= 0.6 (综合分=0.95)
[CMP002]↔[REC202606170001] 最长公共子序列相似度 1.00 >= 0.6 (综合分=0.95)
[CMP002]↔[REC202606170001] 关键词匹配: 人民公园, 东 (综合分=0.95)",,"1. 检测到该点位存在 4 条重复投诉
2. 与首位投诉人联系，告知处理进度
3. 将重复投诉合并处理，统一回复所有投诉人
4. 在系统中标记重复投诉关联关系
⚠️ 该组包含距离极近的点位，需现场核实是否为同一座椅位置
   - 如为同一座椅：确认归并，补充现场照片证据
   - 如为相邻不同座椅：拆分为独立归并组，分别处理",2026-06-17 13:42:34,REC001; REC002; CMP001; CMP002; REC202606170001,人民公园东门出口处 || 人民公园东门 || 人民公园东门出口 || 人民公园东门 || 人民公园东门口
GRP2026061760DD74,建设大道与光明路交叉口绿地公园,4,3,已归并,重复投诉,"[REC006]↔[REC007] 最长公共子序列相似度 0.73 >= 0.6 (综合分=0.70)
[REC006]↔[REC007] 坐标距离 7.0米 <= 50.0米 (综合分=0.70)
[REC006]↔[REC007] ⚠️ 距离极近(7.0米)，需人工确认是否为相邻不同点位 (综合分=0.70)
[REC006]↔[CMP004] 文本字符重叠度 1.00 >= 0.6 (综合分=1.00)
[REC006]↔[CMP004] 最长公共子序列相似度 1.00 >= 0.6 (综合分=1.00)
[REC006]↔[CMP004] 关键词匹配: 道与光明路交叉口绿地, 交叉口, 建设大道, 光明路交叉口绿地公园, 建设大道与光明路 (综合分=1.00)
[REC006]↔[REC202606170003] 文本字符重叠度 0.75 >= 0.6 (综合分=0.69)
[REC006]↔[REC202606170003] 最长公共子序列相似度 0.92 >= 0.6 (综合分=0.69)
[REC006]↔[REC202606170003] 关键词匹配: 交叉口, 建设大道 (综合分=0.69)
[CMP004]↔[REC202606170003] 文本字符重叠度 0.75 >= 0.6 (综合分=0.69)
[CMP004]↔[REC202606170003] 最长公共子序列相似度 0.92 >= 0.6 (综合分=0.69)
[CMP004]↔[REC202606170003] 关键词匹配: 交叉口, 建设大道 (综合分=0.69)",,"1. 检测到该点位存在 3 条重复投诉
2. 与首位投诉人联系，告知处理进度
3. 将重复投诉合并处理，统一回复所有投诉人
4. 在系统中标记重复投诉关联关系
⚠️ 该组包含距离极近的点位，需现场核实是否为同一座椅位置
   - 如为同一座椅：确认归并，补充现场照片证据
   - 如为相邻不同座椅：拆分为独立归并组，分别处理",2026-06-17 13:42:34,REC006; REC007; CMP004; REC202606170003,建设大道与光明路交叉口绿地公园 || 建设路光明路口口袋公园 || 建设大道与光明路交叉口绿地公园 || 建设大道和光明路交叉口的绿地
GRP20260617F1E04D,幸福小区南侧小游园,4,3,已归并,重复投诉,"[REC004]↔[REC005] 文本字符重叠度 0.88 >= 0.6 (综合分=0.71)
[REC004]↔[REC005] 最长公共子序列相似度 0.71 >= 0.6 (综合分=0.71)
[REC004]↔[REC005] 关键词匹配: 南 (综合分=0.71)
[REC004]↔[REC005] 坐标距离 4.8米 <= 50.0米 (综合分=0.71)
[REC004]↔[REC005] ⚠️ 距离极近(4.8米)，需人工确认是否为相邻不同点位 (综合分=0.71)
[REC004]↔[CMP003] 文本字符重叠度 1.00 >= 0.6 (综合分=1.00)
[REC004]↔[CMP003] 最长公共子序列相似度 1.00 >= 0.6 (综合分=1.00)
[REC004]↔[CMP003] 关键词匹配: 侧, 南, 幸福小区南侧小游园 (综合分=1.00)
[REC005]↔[REC202606170002] 文本字符重叠度 1.00 >= 0.6 (综合分=1.00)
[REC005]↔[REC202606170002] 最长公共子序列相似度 1.00 >= 0.6 (综合分=1.00)
[REC005]↔[REC202606170002] 关键词匹配: 幸福小游园, 南 (综合分=1.00)",,"1. 检测到该点位存在 3 条重复投诉
2. 与首位投诉人联系，告知处理进度
3. 将重复投诉合并处理，统一回复所有投诉人
4. 在系统中标记重复投诉关联关系
⚠️ 该组包含距离极近的点位，需现场核实是否为同一座椅位置
   - 如为同一座椅：确认归并，补充现场照片证据
   - 如为相邻不同座椅：拆分为独立归并组，分别处理",2026-06-17 13:42:34,REC004; REC005; CMP003; REC202606170002,幸福小区南侧小游园 || 幸福小游园（南区） || 幸福小区南侧小游园 || 幸福小游园南区
GRP2026061762EDD4,文化广场西南角,2,0,已归并,需人工确认,"[REC009]↔[CMP005] 文本字符重叠度 1.00 >= 0.6 (综合分=1.00)
[REC009]↔[CMP005] 最长公共子序列相似度 1.00 >= 0.6 (综合分=1.00)
[REC009]↔[CMP005] 关键词匹配: 西, 文化广场, 南 (综合分=1.00)",,"1. 人工复核该点位下多条投诉是否属于同一事项
2. 联系投诉人确认具体位置和问题
3. 如为不同问题，拆分为不同归并组；如为同一问题，标记为重复投诉",2026-06-17 13:42:34,REC009; CMP005,文化广场西南角 || 文化广场西南角
GRP20260617958C1A,老城区和平里3号楼前小花园,2,0,已归并,需人工确认,"[REC010]↔[REC011] 文本字符重叠度 0.60 >= 0.6 (综合分=0.72)
[REC010]↔[REC011] 最长公共子序列相似度 0.64 >= 0.6 (综合分=0.72)
[REC010]↔[REC011] 坐标距离 3.7米 <= 50.0米 (综合分=0.72)
[REC010]↔[REC011] ⚠️ 距离极近(3.7米)，需人工确认是否为相邻不同点位 (综合分=0.72)",,"1. 人工复核该点位下多条投诉是否属于同一事项
2. 联系投诉人确认具体位置和问题
3. 如为不同问题，拆分为不同归并组；如为同一问题，标记为重复投诉
⚠️ 该组包含距离极近的点位，需现场核实是否为同一座椅位置
   - 如为同一座椅：确认归并，补充现场照片证据
   - 如为相邻不同座椅：拆分为独立归并组，分别处理",2026-06-17 13:42:34,REC010; REC011,老城区和平里3号楼前小花园 || 和平里小区3号楼前绿地
GRP20260617A7854E,滨河路沿线带状公园第3段,2,0,已归并,需人工确认,"[REC012]↔[REC013] 最长公共子序列相似度 0.88 >= 0.6 (综合分=0.72)
[REC012]↔[REC013] 坐标距离 12.3米 <= 50.0米 (综合分=0.72)
[REC012]↔[REC013] ⚠️ 距离极近(12.3米)，需人工确认是否为相邻不同点位 (综合分=0.72)",,"1. 人工复核该点位下多条投诉是否属于同一事项
2. 联系投诉人确认具体位置和问题
3. 如为不同问题，拆分为不同归并组；如为同一问题，标记为重复投诉
⚠️ 该组包含距离极近的点位，需现场核实是否为同一座椅位置
   - 如为同一座椅：确认归并，补充现场照片证据
   - 如为相邻不同座椅：拆分为独立归并组，分别处理",2026-06-17 13:42:34,REC012; REC013,滨河路沿线带状公园第3段 || 滨河带状公园三期
GRP202606170B363D,建设路与光明路交叉口东北角绿地,1,0,待处理,单条投诉,单条记录，无可对比归并对象,,"1. 确认该点位是否有其他来源的投诉或记录
2. 如确认为独立点位，可标记为'已归并（单点位）'",2026-06-17 13:42:34,REC008,建设路与光明路交叉口东北角绿地
GRP20260617A93042,朝阳街心公园东门,1,0,待处理,单条投诉,单条记录，无可对比归并对象,,"1. 确认该点位是否有其他来源的投诉或记录
2. 如确认为独立点位，可标记为'已归并（单点位）'",2026-06-17 13:42:34,REC014,朝阳街心公园东门
GRP20260617B36114,人民路东端口袋公园旁,1,0,待处理,单条投诉,单条记录，无可对比归并对象,,"1. 确认该点位是否有其他来源的投诉或记录
2. 如确认为独立点位，可标记为'已归并（单点位）'",2026-06-17 13:42:34,REC003,人民路东端口袋公园旁
GRP20260617E9E326,阳光花园小区内中心花园,1,0,待处理,单条投诉,单条记录，无可对比归并对象,,"1. 确认该点位是否有其他来源的投诉或记录
2. 如确认为独立点位，可标记为'已归并（单点位）'",2026-06-17 13:42:34,REC015,阳光花园小区内中心花园
