明细ID,批次ID,曲目ID,曲目名称,ISRC,平台,播放量,总收入,权利类型,权属方ID,权属方名称,权属比例,合同比例,最终比例,分账金额,是否补录,问题数量,处理说明
DET_007f6d5f-a0f,BATCH_2024-05_8cdef560,TRK001,"夜空中最亮的星",CNM012000001,网易云音乐,125000,8750.00,录音权,OWN001,"华星音乐",0.6000,0.5000,0.5000,4375.00,否,0,"权属比例 60.0% 超过合同上限 50.0%，已按合同比例计算"
DET_1f9ce43d-6c8,BATCH_2024-05_8cdef560,TRK001,"夜空中最亮的星",CNM012000001,网易云音乐,125000,8750.00,录音权,OWN002,"星光工作室",0.5000,0.5000,0.5000,4375.00,否,0,""
DET_a787b651-4f8,BATCH_2024-05_8cdef560,TRK001,"夜空中最亮的星",CNM012000001,QQ音乐,98000,6860.00,录音权,OWN001,"华星音乐",0.6000,0.5000,0.5000,3430.00,否,0,"权属比例 60.0% 超过合同上限 50.0%，已按合同比例计算"
DET_229c7bb8-3e6,BATCH_2024-05_8cdef560,TRK001,"夜空中最亮的星",CNM012000001,QQ音乐,98000,6860.00,录音权,OWN002,"星光工作室",0.5000,0.5000,0.5000,3430.00,否,0,""
DET_d3ae4c28-d23,BATCH_2024-05_8cdef560,TRK002,"春风十里",CNM012000002,网易云音乐,76000,5320.00,录音权,OWN001,"华星音乐",1.0000,0.5000,0.5000,2660.00,否,0,"权属比例 100.0% 超过合同上限 50.0%，已按合同比例计算"
DET_6cf50a08-2e2,BATCH_2024-05_8cdef560,TRK003,"平凡之路",CNM012000003,QQ音乐,156000,10920.00,表演权,OWN003,"天籁传媒",1.0000,0.3000,0.3000,3276.00,否,0,"权属比例 100.0% 超过合同上限 30.0%，已按合同比例计算"
DET_5bed2248-987,BATCH_2024-05_8cdef560,TRK004,"后会无期",CNM012000004,酷狗音乐,45000,3150.00,机械权,OWN004,"盛世唱片",1.0000,0.4500,0.4500,1417.50,否,0,"权属比例 100.0% 超过合同上限 45.0%，已按合同比例计算"
DET_c2927b29-49c,BATCH_2024-05_8cdef560,TRK005,"岁月神偷",CNM012000005,网易云音乐,89000,6230.00,机械权,OWN004,"盛世唱片",0.5000,0.4500,0.4500,2803.50,否,0,"权属比例 50.0% 超过合同上限 45.0%，已按合同比例计算"
DET_097f3df1-a0b,BATCH_2024-05_8cdef560,TRK005,"岁月神偷",CNM012000005,网易云音乐,89000,6230.00,机械权,OWN005,"独立音乐人A",0.5000,0.4500,0.4500,2803.50,否,0,"权属比例 50.0% 超过合同上限 45.0%，已按合同比例计算"
DET_a4e440a2-68e,BATCH_2024-05_8cdef560,TRK001,"夜空中最亮的星",CNM012000001,抖音,234000,16380.00,录音权,OWN001,"华星音乐",0.6000,0.5000,0.5000,8190.00,是,0,"权属比例 60.0% 超过合同上限 50.0%，已按合同比例计算; 播放量补录数据：4月漏算的短综BGM使用量补录"
DET_d55ff33d-81b,BATCH_2024-05_8cdef560,TRK001,"夜空中最亮的星",CNM012000001,抖音,234000,16380.00,录音权,OWN002,"星光工作室",0.5000,0.5000,0.5000,8190.00,是,0,"播放量补录数据：4月漏算的短综BGM使用量补录"
