样本id,商品名称,AI预测属性,置信度,阈值,原人工属性,人工改判,来源渠道,审核状态,老师,备注,是否阈值漂移
S001,男士纯棉短袖T恤,类目:服装/上衣/短袖,0.97,0.80,类目:服装/上衣/短袖,类目:服装/上衣/T恤,张老师提供,已确认,张老师,原类目不够细,否
S002,女士真丝连衣裙夏,类目:服装/裙装,0.95,0.80,类目:服装/裙装/连衣裙,类目:服装/裙装/连衣裙/真丝,复核修正,已确认,李老师,材质需要体现,否
S003,儿童运动鞋男童鞋,类目:鞋靴/运动鞋/童鞋,0.82,0.80,类目:鞋靴/运动鞋/儿童,类目:鞋靴/运动鞋/男童,王老师提交,待处理,王老师,,是
S004,蓝牙耳机入耳式TWS,类目:数码/耳机/蓝牙耳机,0.79,0.80,类目:数码/耳机,类目:数码/耳机/蓝牙耳机/TWS,模型误判需改,已驳回,赵老师,原人工判对了 驳回改判,否
S005,不锈钢保温杯大容量,类目:家居/杯子/保温杯,0.81,0.80,类目:家居/杯子,类目:家居/杯子/保温杯/不锈钢,张老师提供,已确认,张老师,,是
S006,小米智能手表运动版,类目:数码/智能设备/手表,0.99,0.80,类目:数码/手表,类目:数码/智能设备/智能手表,正常改判,已确认,张老师,,否
S007,真皮钱包男款长款,类目:服饰/钱包/真皮,0.80,0.80,类目:服饰/钱包,类目:服饰/钱包/男士/长款,阈值临界需核查,待处理,李老师,疑似阈值漂移,是
S008,婴儿纸尿裤XL码,类目:母婴/尿裤/纸尿裤,0.98,0.80,类目:母婴/尿裤,类目:母婴/尿裤/纸尿裤/XL,复核修正,已确认,王老师,,否
S009,进口红酒干红葡萄酒,类目:食品/酒水/红酒,0.92,0.80,类目:食品/红酒,类目:食品/酒水/葡萄酒/干红,张老师提供,已确认,张老师,,否
S010,办公桌椅组合简约,类目:家具/办公/桌椅,0.75,0.80,类目:家具/办公,类目:家具/办公/桌椅,人工改判有误,已驳回,赵老师,AI反而更准 驳回,否
