问题ID,问题类型,严重程度,标题,描述,相关素材ID,相关用途ID,相关报告ID,证据摘要,处理建议,发现时间,是否已解决
issue_d686221b,tag_conflict,warning,素材[清晨阳光钢琴曲]源标签与人工标签冲突,"素材ID=MAT001 的源标签与人工标注存在不一致。源标签独有: ['治愈', '舒缓'], 人工标签独有: ['平静', '温暖']",MAT001,,,"material_id=MAT001; material_title=清晨阳光钢琴曲; source_tags=温馨,舒缓,治愈; manual_tags=温暖,平静,温馨; conflict_source_only=治愈,舒缓; conflict_manual_only=平静,温暖",建议业务同事核对源标签和人工标签的差异；若源标签错误，联系素材提供方修正；若人工标签错误，调整人工标注；达成一致后更新标签归并规则,2026-06-02T14:56:04.484794,否
issue_b8c7825c,tag_conflict,warning,素材[清晨阳光钢琴曲]审计标签与源标签冲突,"素材ID=MAT001, 报告ID=RPT001。审计标签: ['平静', '治愈', '温暖', '温馨'], 源标签: ['温馨', '舒缓', '治愈']。审计独有: ['平静', '温暖'], 源标签独有: ['舒缓']",MAT001,,RPT001,"material_id=MAT001; report_id=RPT001; auditor=张审计; auditor_tags=平静,治愈,温暖,温馨; source_tags=温馨,舒缓,治愈; audit_only=平静,温暖; source_only=舒缓; auditor_comments=这首钢琴曲整体感觉很温馨，但'舒缓'这个标签不太准确，其实节奏有起伏，应该是'温暖'更合适。源标签和人工标签都有道理，需要统一。",请审计员[张审计]与素材管理员核对标签差异；确认哪一方的标签理解有误，不擅自修改口径；将核对结果记录到审计备注中,2026-06-02T14:56:04.484834,否
issue_971d218b,tag_conflict,critical,素材[清晨阳光钢琴曲]归并标签与审计标签冲突,"素材ID=MAT001, 报告ID=RPT001。归并后标签: ['温馨', '舒缓'], 审计标签: ['平静', '治愈', '温暖', '温馨']。归并独有: ['舒缓'], 审计独有: ['平静', '治愈', '温暖']。这可能导致后续用途错配！",MAT001,,RPT001,"material_id=MAT001; report_id=RPT001; merged_tags=温馨,舒缓; auditor_tags=平静,治愈,温暖,温馨; merge_only=舒缓; audit_only=平静,治愈,温暖; merge_history={'merge_time': '2026-05-20T14:30:00', 'previous_merged_tags': [], 'new_merged_tags': ['温馨', '舒缓'], 'similarities_used': [{'tag_a': '温馨', 'tag_b': '温暖', 'score': 0.85}, {'tag_a': '舒缓', 'tag_b': '平静', 'score': 0.75}]}",这是高风险冲突，立即暂停该素材的后续使用；审核标签归并规则是否正确应用；检查归并历史记录，确认何时出现偏差；涉及用途错配风险，同步通知项目组,2026-06-02T14:56:04.484852,否
issue_f4a48478,tag_conflict,warning,素材[战斗号角]源标签与人工标签冲突,"素材ID=MAT002 的源标签与人工标注存在不一致。源标签独有: ['激昂', '热血', '紧张'], 人工标签独有: ['振奋', '澎湃']",MAT002,,,"material_id=MAT002; material_title=战斗号角; source_tags=激昂,热血,紧张; manual_tags=振奋,澎湃; conflict_source_only=激昂,热血,紧张; conflict_manual_only=振奋,澎湃",建议业务同事核对源标签和人工标签的差异；若源标签错误，联系素材提供方修正；若人工标签错误，调整人工标注；达成一致后更新标签归并规则,2026-06-02T14:56:04.484875,否
issue_165bcc67,tag_conflict,warning,素材[战斗号角]审计标签与源标签冲突,"素材ID=MAT002, 报告ID=RPT005。审计标签: ['振奋', '澎湃', '激昂', '热血'], 源标签: ['激昂', '热血', '紧张']。审计独有: ['振奋', '澎湃'], 源标签独有: ['紧张']",MAT002,,RPT005,"material_id=MAT002; report_id=RPT005; auditor=李审计; auditor_tags=振奋,澎湃,激昂,热血; source_tags=激昂,热血,紧张; audit_only=振奋,澎湃; source_only=紧张; auditor_comments=尚未归并，建议归并为'激昂'和'热血'两个核心标签。",请审计员[李审计]与素材管理员核对标签差异；确认哪一方的标签理解有误，不擅自修改口径；将核对结果记录到审计备注中,2026-06-02T14:56:04.484892,否
issue_1aa51b3a,tag_conflict,warning,素材[神秘森林]源标签与人工标签冲突,"素材ID=MAT003 的源标签与人工标注存在不一致。源标签独有: ['空灵', '诡异'], 人工标签独有: ['梦幻', '迷幻']",MAT003,,,"material_id=MAT003; material_title=神秘森林; source_tags=神秘,诡异,空灵; manual_tags=梦幻,迷幻,神秘; conflict_source_only=空灵,诡异; conflict_manual_only=梦幻,迷幻",建议业务同事核对源标签和人工标签的差异；若源标签错误，联系素材提供方修正；若人工标签错误，调整人工标注；达成一致后更新标签归并规则,2026-06-02T14:56:04.484909,否
issue_d9066bd9,tag_conflict,warning,素材[神秘森林]审计标签与源标签冲突,"素材ID=MAT003, 报告ID=RPT002。审计标签: ['梦幻', '神秘', '空灵', '诡异'], 源标签: ['神秘', '诡异', '空灵']。审计独有: ['梦幻'], 源标签独有: []",MAT003,,RPT002,"material_id=MAT003; report_id=RPT002; auditor=李审计; auditor_tags=梦幻,神秘,空灵,诡异; source_tags=神秘,诡异,空灵; audit_only=梦幻; source_only=; auditor_comments=归并后的标签只保留了'神秘'，丢失了太多细节。这首曲子有明显的空灵梦幻感，建议归并时保留更多维度。",请审计员[李审计]与素材管理员核对标签差异；确认哪一方的标签理解有误，不擅自修改口径；将核对结果记录到审计备注中,2026-06-02T14:56:04.484925,否
issue_1d52fab4,tag_conflict,critical,素材[神秘森林]归并标签与审计标签冲突,"素材ID=MAT003, 报告ID=RPT002。归并后标签: ['神秘'], 审计标签: ['梦幻', '神秘', '空灵', '诡异']。归并独有: [], 审计独有: ['梦幻', '空灵', '诡异']。这可能导致后续用途错配！",MAT003,,RPT002,"material_id=MAT003; report_id=RPT002; merged_tags=神秘; auditor_tags=梦幻,神秘,空灵,诡异; merge_only=; audit_only=梦幻,空灵,诡异; merge_history={'merge_time': '2026-05-22T11:00:00', 'previous_merged_tags': [], 'new_merged_tags': ['神秘'], 'similarities_used': [{'tag_a': '神秘', 'tag_b': '诡异', 'score': 0.8}, {'tag_a': '空灵', 'tag_b': '梦幻', 'score': 0.8}]}",这是高风险冲突，立即暂停该素材的后续使用；审核标签归并规则是否正确应用；检查归并历史记录，确认何时出现偏差；涉及用途错配风险，同步通知项目组,2026-06-02T14:56:04.484939,否
issue_8fb739be,tag_conflict,warning,素材[欢快嘉年华]源标签与人工标签冲突,"素材ID=MAT005 的源标签与人工标注存在不一致。源标签独有: ['愉悦', '欢快'], 人工标签独有: ['开心', '轻松']",MAT005,,,"material_id=MAT005; material_title=欢快嘉年华; source_tags=欢快,愉悦; manual_tags=开心,轻松; conflict_source_only=愉悦,欢快; conflict_manual_only=开心,轻松",建议业务同事核对源标签和人工标签的差异；若源标签错误，联系素材提供方修正；若人工标签错误，调整人工标注；达成一致后更新标签归并规则,2026-06-02T14:56:04.484956,否
issue_1c549a8f,tag_conflict,warning,素材[欢快嘉年华]审计标签与源标签冲突,"素材ID=MAT005, 报告ID=RPT003。审计标签: ['愉悦', '欢快', '活泼', '轻松'], 源标签: ['欢快', '愉悦']。审计独有: ['活泼', '轻松'], 源标签独有: []",MAT005,,RPT003,"material_id=MAT005; report_id=RPT003; auditor=王审计; auditor_tags=愉悦,欢快,活泼,轻松; source_tags=欢快,愉悦; audit_only=活泼,轻松; source_only=; auditor_comments=归并结果'欢快'和'轻松'基本准确，但可以考虑加入'活泼'，因为曲子确实很有活力。",请审计员[王审计]与素材管理员核对标签差异；确认哪一方的标签理解有误，不擅自修改口径；将核对结果记录到审计备注中,2026-06-02T14:56:04.484972,否
