_source,_processing_status,_context_id,project_code,_src_project_code,project_name,_src_project_name,quantity,_src_quantity,unit,_src_unit,unit_price,_src_unit_price,total_price,_src_total_price,tax_rate,_src_tax_rate,_unmapped_备注,_unmapped_说明,_unmapped_来源系统,_record_index,total_price_status,total_price_calculated,total_price_expected,total_price_anomaly,total_price_record_id,tax_amount_status,tax_amount_calculated,tax_amount_expected,tax_amount_anomaly,tax_amount_record_id,_overall_status,unit_cost_status,unit_cost_calculated,unit_cost_expected,unit_cost_anomaly,unit_cost_record_id
,字段已映射,,XM001,项目编码,混凝土浇筑,项目名称,100,工程量,m³,单位,350.0,单价,35000.0,合价,13%,税率,正常数据,,,0,通过,35350.0,35000.0,,cc7d30a052,失败,4550.0,35000.0,数值偏差,dafcbce492,失败,失败,350.0,35000.0,数值偏差,f6e75b1fe6
,字段已映射,,XM002,项目编码,钢筋绑扎,项目名称,50,工程量,t,单位,5800.0,单价,290000.0,合价,13%,税率,正常数据,,,1,通过,292900.0,290000.0,,343f241b92,失败,37700.0,290000.0,数值偏差,239381dc55,失败,失败,5800.0,290000.0,数值偏差,687da206b3
,字段已映射,,XM003,项目编码,模板工程,项目名称,200,工程量,m²,单位,85.0,单价,17000.0,合价,13%,税率,正常数据,,,2,通过,17170.0,17000.0,,23a95e134c,失败,2210.0,17000.0,数值偏差,00613cb2f8,失败,失败,85.0,17000.0,数值偏差,98f29578d3
,字段已映射,,XM004,项目编码,脚手架,项目名称,150,工程量,m²,单位,120.0,单价,18000.0,合价,13%,税率,正常数据,,,3,通过,18180.0,18000.0,,3a97fdeff9,失败,2340.0,18000.0,数值偏差,8d0625f76b,失败,失败,120.0,18000.0,数值偏差,0a7bad7d3b
,字段已映射,,XM005,项目编码,防水工程,项目名称,80,工程量,m²,单位,280.0,单价,22400.0,合价,9%,税率,税率差异,,,4,通过,22624.0,22400.0,,edb3f54296,失败,2016.0,22400.0,数值偏差,e282689193,失败,失败,280.0,22400.0,数值偏差,f9f15be86a
,字段已映射,,XM006,项目编码,土方开挖,项目名称,500,工程量,m³,单位,45.0,单价,22500.0,合价,9%,税率,正常数据,,,5,通过,22725.0,22500.0,,2fcc7aaaad,失败,2025.0,22500.0,数值偏差,b52008d1b3,失败,失败,45.0,22500.0,数值偏差,da066f02c3
,字段已映射,,XM007,项目编码,管道安装,项目名称,200,工程量,m,单位,180.0,单价,36000.0,合价,13%,税率,正常数据,,,6,通过,36360.0,36000.0,,449c68904e,失败,4680.0,36000.0,数值偏差,852fdb3e2b,失败,失败,180.0,36000.0,数值偏差,7a69e681b0
,字段已映射,,XM008,项目编码,电气布线,项目名称,300,工程量,m,单位,95.0,单价,28500.0,合价,13%,税率,正常数据,,,7,通过,28785.0,28500.0,,cb50eb6907,失败,3705.0,28500.0,数值偏差,321501235b,失败,失败,95.0,28500.0,数值偏差,51380e82cc
,字段已映射,,XM009,项目编码,设备基础,项目名称,30,工程量,m³,单位,420.0,单价,12600.0,合价,13%,税率,正常数据,,,8,通过,12726.0,12600.0,,821ad45049,失败,1638.0,12600.0,数值偏差,4fade782ad,失败,失败,420.0,12600.0,数值偏差,53df368617
,字段已映射,,XM010,项目编码,地面找平,项目名称,120,工程量,m²,单位,65.0,单价,7800.0,合价,13%,税率,正常数据,,,9,通过,7878.0,7800.0,,fc58be4bf5,失败,1014.0,7800.0,数值偏差,7f7e4e49b2,失败,失败,65.0,7800.0,数值偏差,14f5d833a8
,字段已映射,,XM011,项目编码,墙面抹灰,项目名称,180,工程量,m²,单位,75.0,单价,13500.0,合价,13%,税率,正常数据,,,10,通过,13635.0,13500.0,,973984a39f,失败,1755.0,13500.0,数值偏差,38aa67081d,失败,失败,75.0,13500.0,数值偏差,b6ac361513
,字段已映射,,XM012,项目编码,吊顶工程,项目名称,90,工程量,m²,单位,150.0,单价,13500.0,合价,13%,税率,正常数据,,,11,通过,13635.0,13500.0,,b5012dbed5,失败,1755.0,13500.0,数值偏差,b0c6e32adb,失败,失败,150.0,13500.0,数值偏差,023862fd24
,字段已映射,,XM001,项目编号,混凝土浇筑,名称,100,数量,m³,计量单位,350.0,综合单价,35000.0,总价,0.13,增值税率,,正确,,12,通过,35350.0,35000.0,,5a85d0083a,失败,4550.0,35000.0,数值偏差,014d03be48,失败,失败,350.0,35000.0,数值偏差,dde8cdb45b
,字段已映射,,XM002,项目编号,钢筋绑扎,名称,50,数量,t,计量单位,5800.0,综合单价,290000.0,总价,0.13,增值税率,,正确,,13,通过,292900.0,290000.0,,5d8b61ffbd,失败,37700.0,290000.0,数值偏差,b72cbae5cb,失败,失败,5800.0,290000.0,数值偏差,f9020e8063
,字段已映射,,XM003,项目编号,模板工程,名称,200,数量,m²,计量单位,85.0,综合单价,17000.0,总价,0.13,增值税率,,正确,,14,通过,17170.0,17000.0,,d54294a05f,失败,2210.0,17000.0,数值偏差,038650e01c,失败,失败,85.0,17000.0,数值偏差,2d2cb48095
,字段已映射,,XM004,项目编号,脚手架,名称,150,数量,m²,计量单位,120.0,综合单价,18000.0,总价,0.13,增值税率,,正确,,15,通过,18180.0,18000.0,,c4e250d51b,失败,2340.0,18000.0,数值偏差,96163a435c,失败,失败,120.0,18000.0,数值偏差,3447f74444
,字段已映射,,XM005,项目编号,防水工程,名称,80,数量,m²,计量单位,280.0,综合单价,22400.0,总价,0.09,增值税率,,税率9%,,16,通过,22624.0,22400.0,,163c0e1628,失败,2016.0,22400.0,数值偏差,2bd84937f1,失败,失败,280.0,22400.0,数值偏差,48927921dd
,字段已映射,,XM006,项目编号,土方开挖,名称,500,数量,m³,计量单位,45.0,综合单价,22500.0,总价,0.09,增值税率,,正确,,17,通过,22725.0,22500.0,,a688b8a072,失败,2025.0,22500.0,数值偏差,33e843ffa8,失败,失败,45.0,22500.0,数值偏差,febd20cfd1
