题目ID,反馈人,反馈类型,反馈内容,处理状态,反馈日期,备注
Q-2024-1003,王磊,答案错误,月度结账日期应该是每月25号，不是最后一天,待确认,2024-03-17,人工复核中
Q-2024-1005,刘敏,题干模糊,合并报表抵销分录范围不明确,已处理,2024-03-18,已补充题干描述
Q-2024-1010,陈涛,格式问题,旧表导入的字段名不统一，需手动改,待补录,2024-03-16,补录标记：是
Q-2024-1011,陈涛,重复题目,和Q-2024-0897内容重复,待确认,2024-03-17,人工确认中
Q-2024-1014,周洋,缺少单位,这道题单位字段空着,待补录,2024-03-18,漏填单位：技术
Q-2024-1019,吴昊,难度不准,劳动合同法那道题应该是易不是难,已处理,2024-03-20,已调整难度
Q-2024-1021,孙琳,评测集偏科,财务类题目占比太高，需要平衡,待确认,2024-03-21,偏科问题：财务模块占35%
Q-2024-1022,孙琳,评测集偏科,又是财务题，其他模块题量不足,待确认,2024-03-21,
Q-2024-1023,孙琳,评测集偏科,财务题扎堆了,待确认,2024-03-21,
Q-2024-1024,孙琳,评测集偏科,建议增加人事、客服模块题量,待确认,2024-03-21,
Q-2024-1012,郑凯,安全拦截,题目涉及敏感内容，被安全策略拦截,已处理,2024-03-19,安全策略v2.1拦截
Q-2024-1013,郑凯,安全拦截,内幕信息相关题目触发安全规则,待确认,2024-03-19,安全策略v2.1拦截
Q-2024-1017,黄丽,补录备注,旧批次补录的题目，来源不确定,待确认,2024-03-19,补录：BATCH-038遗留
Q-2024-1026,黄丽,补录备注,上周漏的题目，需要核对出处,待补录,2024-03-21,补录标记：是
Q-2024-1009,马超,版本回滚,这道题在v2.3里消失了，回滚丢记录,待确认,2024-03-22,卡在MAT-2024-002材料
