工具调用失败回放 - 报告导出
导出时间,2026-06-17 23:18:04
批次范围,全部批次

=== 统计摘要 ===
总调用数,24
成功数,13
失败数,7
拦截数,3
丢失数,1
成功率,54.17%

=== 版本回滚丢失记录 ===
题目ID,题干,材料编号,材料名称,切分批次,调用批次,版本号,备注,错误信息
Q-2024-1009,以下哪些是法定节假日？,MAT-2024-002,产品知识库V3.2切分_人事模块,BATCH-042,RUN-002,v2.3,卡在MAT-2024-002材料,版本回滚后记录丢失

=== 调用明细 ===
调用ID,题目ID,题干,工具名称,状态,失败类型,错误信息,材料编号,材料名称,单位,运行批次,版本号,重试次数,有反馈,反馈数,补录标记,旧表标记,漏填单位
CALL-0001,Q-2024-1003,月度结账日期是几号？,knowledge_query,失败,参数错误,切分单位字段缺失导致检索失败,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-001,v2.2,1,是,1,否,否,否
CALL-0002,Q-2024-1005,合并报表的抵销分录主要处理什么？,knowledge_query,失败,匹配失败,知识库中未找到对应段落,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-001,v2.2,2,是,1,否,否,否
CALL-0003,Q-2024-1010,客服首次响应时间要求？,knowledge_query,失败,格式错误,旧表字段名不兼容,MAT-2024-003,客服话术标准回复库,客服,RUN-001,v2.2,1,是,1,否,是,否
CALL-0004,Q-2024-1011,客户投诉处理原则包括？,knowledge_query,失败,超时,查询超时30秒,MAT-2024-003,客服话术标准回复库,客服,RUN-001,v2.2,3,是,1,是,是,否
CALL-0005,Q-2024-1014,API接口返回码200表示什么？,knowledge_query,失败,参数错误,单位字段为空,MAT-2024-005,技术文档_API接口说明,技术,RUN-001,v2.2,1,是,1,否,否,否
CALL-0006,Q-2024-1012,合规审查的第一责任人是？,safety_check,拦截,安全拦截,触发敏感内容规则第12条,MAT-2024-004,合规审查条款2024版,合规,RUN-001,v2.2,0,是,1,否,否,否
CALL-0007,Q-2024-1013,内幕信息知情人可以建议他人买卖证券,safety_check,拦截,安全拦截,触发敏感内容规则第8条,MAT-2024-004,合规审查条款2024版,合规,RUN-001,v2.2,0,是,1,否,否,否
CALL-0008,Q-2024-1019,劳动合同法规定试用期最长不超过？,knowledge_query,失败,匹配失败,旧表难度字段值不匹配,MAT-2024-009,法律法规汇编_2023,法务,RUN-001,v2.2,1,是,1,否,是,否
CALL-0009,Q-2024-1021,坏账准备计提比例？,knowledge_query,成功,成功,正常返回,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-001,v2.2,0,是,1,否,否,否
CALL-0010,Q-2024-1022,出纳可以兼任会计吗？,knowledge_query,成功,成功,正常返回,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-001,v2.2,0,是,1,否,否,否
CALL-0011,Q-2024-1023,固定资产折旧方法有？,knowledge_query,成功,成功,正常返回,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-001,v2.2,0,是,1,否,否,否
CALL-0012,Q-2024-1024,白条可以入账,knowledge_query,成功,成功,正常返回,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-001,v2.2,0,是,1,否,否,否
CALL-0013,Q-2024-1003,月度结账日期是几号？,knowledge_query,失败,参数错误,切分单位字段缺失,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-002,v2.3,1,是,1,否,否,否
CALL-0014,Q-2024-1010,客服首次响应时间要求？,knowledge_query,成功,成功,补录后字段已修复,MAT-2024-003,客服话术标准回复库,客服,RUN-002,v2.3,0,是,1,否,是,否
CALL-0015,Q-2024-1014,API接口返回码200表示什么？,knowledge_query,成功,成功,补录单位后正常,MAT-2024-005,技术文档_API接口说明,技术,RUN-002,v2.3,0,是,1,否,否,否
CALL-0016,Q-2024-1012,合规审查的第一责任人是？,safety_check,成功,成功,安全策略v2.2调整后放行,MAT-2024-004,合规审查条款2024版,合规,RUN-002,v2.3,0,是,1,否,否,否
CALL-0017,Q-2024-1013,内幕信息知情人可以建议他人买卖证券,safety_check,拦截,安全拦截,仍触发敏感内容规则第8条,MAT-2024-004,合规审查条款2024版,合规,RUN-002,v2.3,0,是,1,否,否,否
CALL-0018,Q-2024-1009,以下哪些是法定节假日？,knowledge_query,丢失,回滚丢失,版本回滚后记录丢失,MAT-2024-002,产品知识库V3.2切分_人事模块,人事,RUN-002,v2.3,0,是,1,否,否,否
CALL-0019,Q-2024-1005,合并报表的抵销分录主要处理什么？,knowledge_query,成功,成功,人工确认后补充材料,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-003,v2.4,0,是,1,否,否,否
CALL-0020,Q-2024-1003,月度结账日期是几号？,knowledge_query,成功,成功,人工确认答案修正后通过,MAT-2024-001,产品知识库V3.2切分_财务模块,财务,RUN-003,v2.4,0,是,1,否,否,否
CALL-0021,Q-2024-1011,客户投诉处理原则包括？,knowledge_query,成功,成功,人工确认去重后保留,MAT-2024-003,客服话术标准回复库,客服,RUN-003,v2.4,0,是,1,是,是,否
CALL-0022,Q-2024-1017,新员工入职培训为期几天？,knowledge_query,成功,成功,补录备注确认来源后正常,MAT-2024-007,培训材料_新员工入职,培训,RUN-003,v2.4,0,是,1,是,否,否
CALL-0023,Q-2024-1026,日报表数据来源是？,knowledge_query,成功,成功,补录上周遗漏题目,MAT-2024-012,数据分析报表模板,数据,RUN-003,v2.4,0,是,1,是,否,否
CALL-0024,Q-2024-1019,劳动合同法规定试用期最长不超过？,knowledge_query,成功,成功,难度字段统一后匹配成功,MAT-2024-009,法律法规汇编_2023,法务,RUN-003,v2.4,0,是,1,否,是,否
