"滨海步道风场碰撞预审 - 复核报告"
"案件编号","BH-2024-002"
"位置","滨海步道K5+600段东侧"
"状态","approved"
"碰撞对象类型","transmission_tower"
"碰撞摘要","35kV输电塔拉线地锚位于步道土方范围内，已设置防护"
"最后操作人","王工"
"更新时间","2024-03-20T15:00:00Z"

"== 巡检照片 =="
"照片ID","原始行号","拍摄时间","原始说明","是否晚到"
"photo-002-1","2","2024-03-10T09:20:00Z","第2行：35kV线路T5号塔西北侧拉线地锚，位于步道施工范围内","否"
"photo-002-2","5","2024-03-10T09:35:00Z","第5行：地锚外缘距步道铺装完成面0.3m，埋深1.2m，施工前需迁移","否"
"photo-002-3","15","2024-03-18T11:00:00Z","第15行（晚到）：地锚临时防护已设置，警示围栏+反光条，来源3月18日补拍","是"
"photo-002-4","18","2024-03-19T14:00:00Z","第18行：3月19日方案评审会现场照片，已确定永久迁移方案","否"

"== 碰撞对象 =="
"对象ID","名称","类型","风险等级","来源行号","坐标","描述"
"obj-002-1","T5号塔拉线地锚","transmission_tower","medium","5","121.5567,31.7945","输电塔拉线地锚，来源巡检照片第5行，已确定迁移方案"

"== 时间轴 =="
"时间","类型","标题","描述","是否缺段"
"2024-03-10T08:00:00Z","create","案件创建","步道施工巡检发现地锚侵入","否"
"2024-03-10T14:00:00Z","inspection","首次巡检照片上传","第2、5行原始数据，来源现场同事王工","否"
"2024-03-12T10:00:00Z","gap","时间轴缺段警告","3月12日-3月17日无任何巡检记录或处理进展，涉及第8-14行原始数据缺失","是"
"2024-03-18T16:30:00Z","attachment","晚到附件：防护照片上传","第15行晚到数据，对应巡检照片 photo-002-3","否"
"2024-03-19T18:00:00Z","inspection","评审会议记录上传","第18行，方案评审通过","否"
"2024-03-20T15:00:00Z","rejudge","改判：通过复核","老何改判通过，已关联晚到附件与结论","否"

"== 附件描述 =="
"地锚永久迁移施工方案，含坐标、工程量、工期"
