扫码单号,工单号,备件编码,备件名称,数量,操作类型,工程师,扫码时间,单价
SPS20240501001,RO20240501001,SP001,压缩机,1,领用,张工,2024-04-30 16:00:00,800
SPS20240501002,RO20240501001,SP002,冷凝器,1,领用,张工,2024-04-30 16:05:00,300
SPS20240501003,RO20240501002,SP003,电机,1,领用,王工,2024-05-01 09:00:00,200
SPS20240501004,RO20240501003,SP004,密封圈,2,领用,李工,2024-05-02 10:00:00,50
SPS20240501005,RO20240501004,SP005,遥控器,1,领用,张工,2024-05-02 13:00:00,80
SPS20240501006,RO20240501005,SP006,加热管,1,领用,赵工,2024-05-03 08:00:00,150
SPS20240501007,RO20240501005,SP006,加热管,1,退回,赵工,2024-05-03 08:10:00,150
SPS20240501008,RO20240501005,SP006,加热管,1,报废,赵工,2024-05-03 08:15:00,150
SPS20240501009,RO20240501006,SP007,风扇电机,1,领用,王工,2024-05-03 09:00:00,120
SPS20240501010,RO20240501007,SP008,点火器,1,领用,李工,2024-05-03 10:00:00,80
SPS20240501011,RO20240501007,SP008,点火器,0,领用,李工,2024-05-03 10:05:00,80
SPS20240501012,RO20240501008,SP009,磁控管,1,领用,,2024-05-04 09:00:00,180
SPS20240501013,RO20240501009,SP010,滤芯,1,领用,张工,2024-05-04 12:00:00,60
SPS20240501014,RO20240501010,SP011,紫外线灯,1,领用,王工,2024-05-05 15:00:00,100
SPS20240501015,RO20240501010,SP011,紫外线灯,1,退回,王工,2024-05-05 15:30:00,100
