anomaly_id,record_id,timestamp,anomaly_type,value,threshold_value,threshold_name,unit,description,nameplate_version,nameplate_snapshot_hash,nameplate_change_reason,active_notes,active_note_impacts,retracted_notes,retract_reasons,source_file,tower_id
anom_000001,wd_000014,2024-06-14 09:10:00,temp_high,32.2,32.0,water_drop_temp_high,L/min,温度 32.2℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000002,wd_000015,2024-06-14 09:15:00,temp_high,32.5,32.0,water_drop_temp_high,L/min,温度 32.5℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000003,wd_000015,2024-06-14 09:15:00,flow_high,105.0,100.0,water_drop_flow_high,L/min,流量 105.0L/min 超过上限 100.0L/min,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000004,wd_000016,2024-06-14 09:20:00,temp_high,32.8,32.0,water_drop_temp_high,L/min,温度 32.8℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000005,wd_000017,2024-06-14 09:25:00,temp_high,33.1,32.0,water_drop_temp_high,L/min,温度 33.1℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000006,wd_000018,2024-06-14 09:30:00,temp_high,33.4,32.0,water_drop_temp_high,L/min,温度 33.4℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000007,wd_000019,2024-06-14 09:35:00,temp_high,33.7,32.0,water_drop_temp_high,L/min,温度 33.7℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000008,wd_000025,2024-06-14 10:05:00,temp_high,36.2,32.0,water_drop_temp_high,L/min,温度 36.2℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000009,wd_000034,2024-06-14 10:50:00,temp_high,32.2,32.0,water_drop_temp_high,L/min,温度 32.2℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
anom_000010,wd_000035,2024-06-14 10:55:00,temp_high,32.5,32.0,water_drop_temp_high,L/min,温度 32.5℃ 超过上限 32.0℃,3,f803392412671bea,追加备注：接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 接调度通知，本周高温橙色预警，冷却塔高温阈值临时收紧,[note_3_1] 温度高于32℃即算高温异常，原35℃标准暂停执行，待预警解除后恢复,,,water_drops.csv,CT-001
