样品编号,峰位,强度,归属,状态,备注
# 以下为2024-11-03批次谱图，前两条是标样
SAMP-001,1.41,920,EC,正常,
SAMP-001,1.82,870,EC,正常,
SAMP-001,3.72,1050,DMC,正常,
SAMP-001,4.50,1100,EC,正常,
SAMP-001,5.21,680,LiPF6,正常,
# 张工说这条峰形有点怪先标上
SAMP-002,1.39,890,EC,正常,
SAMP-002,1.81,850,EC,正常,
SAMP-002,3.68,1180,DMC,正常,3.68这条可能和EMC叠了
SAMP-002,3.99,720,EMC,正常,
SAMP-002,4.51,1080,EC,正常,
SAMP-002,5.20,710,LiPF6,正常,
// SAMP-003那条温度异常的谱图先留着
SAMP-003,1.42,905,EC,正常,
SAMP-003,1.83,860,EC,正常,
SAMP-003,4.09,780,DEC,正常,
SAMP-003,4.52,1090,EC,正常,
SAMP-003,5.01,650,LiFSI,正常,
SAMP-004,1.22,840,DMC,正常,
SAMP-004,1.38,830,EMC,正常,
SAMP-004,3.67,1220,DMC,正常,DMC和EMC两个峰挨太近
SAMP-004,4.00,740,EMC,正常,
SAMP-004,4.50,1095,EC,正常,
SAMP-004,5.22,695,LiPF6,正常,
# SAMP-005的FEC峰存疑
SAMP-005,1.40,910,EC,正常,
SAMP-005,1.80,865,EC,正常,
SAMP-005,2.48,190,FEC,正常,强度有点低但位置对得上
SAMP-005,2.55,140,,存疑,旁边多了个小峰，新供应商FEC可能含杂质
SAMP-005,3.71,1070,DMC,正常,
SAMP-005,4.50,1105,EC,正常,
SAMP-005,5.20,690,LiPF6,正常,
SAMP-005,5.78,150,,存疑,
SAMP-006,1.39,875,EMC,正常,
SAMP-006,3.40,720,LiFSI,正常,
SAMP-006,3.45,690,LiPF6,正常,三峰聚堆这里要留意
SAMP-006,3.50,550,EMC,正常,
SAMP-006,4.00,705,EMC,正常,
SAMP-006,5.02,420,LiFSI,正常,
SAMP-006,5.20,400,LiPF6,正常,
