statement_number,supplier,tracking_number,declaration_number,invoice_amount,currency,tax_amount,invoice_date,due_date,status,remark
STMT202405001,供应商B,TRK202405000001,DEC202405001,120,USD,15.6,2024-05-01,2024-06-01,pending,对账单1
STMT202405002,供应商C,TRK202405000002,DEC202405002,140,USD,18.2,2024-05-01,2024-06-01,pending,对账单2
STMT202405003,供应商D,TRK202405000003,DEC202405003,160,USD,20.8,2024-05-01,2024-06-01,pending,对账单3
STMT202405004,错误供应商,TRK202405000004,DEC202405004,180,USD,23.4,2024-05-01,2024-06-01,pending,对账单4
STMT202405005,供应商B,TRK202405000005,DEC202405005,200,USD,26.0,2024-05-01,2024-06-01,pending,对账单5
STMT202405006,供应商C,TRK202405000006,DEC202405006,220,USD,28.6,2024-05-01,2024-06-01,pending,对账单6
STMT202405007,供应商D,TRK202405000007,DEC202405007,240,USD,31.2,2024-05-01,2024-06-01,pending,对账单7
STMT202405008,错误供应商,TRK202405000008,DEC202405008,260,USD,33.8,2024-05-01,2024-06-01,pending,对账单8
STMT202405009,供应商B,TRK202405000009,DEC202405009,280,USD,36.4,2024-05-01,2024-06-01,pending,对账单9
STMT202405010,供应商C,TRK202405000010,DEC202405010,300,USD,39.0,2024-05-01,2024-06-01,pending,对账单10
STMT202405011,供应商D,TRK202405000011,DEC202405011,320,USD,41.6,2024-05-01,2024-06-01,pending,对账单11
STMT202405012,错误供应商,TRK202405000012,DEC202405012,340,USD,44.2,2024-05-01,2024-06-01,pending,对账单12
STMT202405013,供应商B,TRK202405000013,DEC202405013,360,USD,46.8,2024-05-01,2024-06-01,pending,对账单13
STMT202405014,供应商C,TRK202405000014,DEC202405014,380,USD,49.4,2024-05-01,2024-06-01,pending,对账单14
STMT202405015,供应商D,TRK202405000015,DEC202405015,400,USD,52.0,2024-05-01,2024-06-01,pending,对账单15
