任务ID,任务名,负责人,团队,项目,GPU卡型,GPU时长(小时),单价,币种,分摊成本,命中规则,判断(调整前),判断(调整后),判断是否变化,是否已确认,占团队比例,数据来源说明,备注,备注(截断后),截断原因,是否已回滚保留
T-1001,图文多模态预训练,alice,算法组,MM-v3,A100,60.00,15.00,CNY,900.00,R-02,正常,异常(偏高),是,否,72.1%,按 时长×单价 计算（规则 R-02，晚到安全规则，单价 15.0）；补录额外运行 12h（alice）,6/15 跑完,6/15 跑完,,否
T-1003,召回模型微调,bob,推荐组,Recall-v2,A10,8.00,6.00,USD,1234.50,—,数据不足(样本少),数据不足(样本少),否,否,100.0%,实际金额直接入账,旧表2024Q4 金额里带逗号和币种,旧表2024Q4 金额里带逗号和币种,,否
T-1004,排序模型训练,carol,算法组,Rank-v1,A10,6.00,6.00,CNY,36.00,—,正常,正常,否,否,2.9%,按 时长×单价 计算,正常,正常,,否
T-1005,语音ASR训练,dave,语音组,ASR-v4,V100,72.00,20.00,CNY,1440.00,R-06,正常,正常,否,否,72.0%,按 时长×单价 计算（规则 R-06，晚到安全规则，单价 20.0）,6/14 完成,6/14 完成,,否
T-1006,语音TTS训练,dave,语音组,TTS-v2,V100,3.00,18.00,CNY,560.00,—,正常,正常,否,否,28.0%,实际金额直接入账（金额没写币种，分不清是人民币还是美元（原文：560.0）。；补录实际金额 560.0 CNY（mia））,旧表2024Q4 只填了金额漏填币种,旧表2024Q4 只填了金额漏填币种,,否
T-1007,视觉自监督训练,eve,视觉组,SSL-v1,A100,120.00,12.50,CNY,1500.00,R-04,正常,正常,否,是,96.8%,按 时长×单价 计算（规则 R-04，单价 12.5）；已人工确认（erin）,一次大任务,一次大任务,,否
T-1008,视觉分类微调,eve,视觉组,Cls-v1,A100,4.00,12.50,CNY,50.00,R-04,正常,正常,否,否,3.2%,按 时长×单价 计算（规则 R-04，单价 12.5）,正常,正常,,否
T-1009,多模态对齐训练,frank,算法组,Align-v1,A100,20.00,15.00,CNY,300.00,R-02,异常(偏高),正常,是,否,24.0%,按 时长×单价 计算（规则 R-02，晚到安全规则，单价 15.0）；人工更正时长为 20h（david）,6/15 异常长跑 待人工核对 初步排查是数据加载阶段卡住导致计时重复 已和david确认实际只跑了20h 其余80h为空转,6/15 异常长跑 待人工核对 初步排查是数据加载阶段卡住导致计时重复 已和david确认实际只跑了20h 其余80h为,备注比较长，这里只显示前 60 个字，完整内容见明细表（CSV）。,否
T-1010,小模型基线训练,grace,算法组,Base-v1,A10,2.00,6.00,CNY,12.00,—,正常,正常,否,否,1.0%,按 时长×单价 计算,正常,正常,,否
T-1011,旧版召回模型,bob,推荐组,Recall-v1,A10,10.00,6.00,USD,60.00,—,已回滚(保留),已回滚(保留),否,否,—,按 时长×单价 计算,旧表迁移过来的记录 已回滚但保留可查,旧表迁移过来的记录 已回滚但保留可查,,是
T-1012,实验性训练已回滚,hank,视觉组,Exp-v0,A100,90.00,12.50,CNY,1125.00,R-04,已回滚(保留),已回滚(保留),否,否,—,按 时长×单价 计算（规则 R-04，单价 12.5）,配置错误跑废了已回滚 记录不删,配置错误跑废了已回滚 记录不删,,是
