名称,课程号,授课教师,学生人数,课时,是否实验课,需要设备,需要连堂,院系,偏好教室,偏好时间,备注
高等数学A,MATH101,"张教授;李教授",120,2,否,,是,数学系,综合楼C101,"周一1-2节;周三1-2节",公共基础课，需要大教室
大学物理,PHYS101,李教授,90,2,否,,是,物理系,综合楼C201,周二3-4节,
物理实验（光学）,PHYS101L,"李教授;王教授",35,4,是,"实验台;显微镜",是,物理系,实验楼B101,周三1-4节,需要4节连堂，必须在实验室
数据结构与算法,CS201,王教授,65,2,否,,是,计算机系,教学楼A102,周一3-4节,
计算机组成原理实验,CS201L,"王教授;赵教授",45,4,是,"实验台;计算机",是,计算机系,实验楼B102,周四1-4节,需要计算机实验室
线性代数,MATH102,张教授,80,2,否,,是,数学系,教学楼A102,周二1-2节,
概率论与数理统计,MATH201,刘教授,75,2,否,,是,数学系,教学楼A201,周三3-4节,
有机化学,CHEM101,陈教授,55,2,否,,是,化学系,教学楼A201,周四3-4节,
有机化学实验,CHEM101L,"陈教授;周教授",50,4,是,"实验台;化学仪器",是,化学系,实验楼B201,周二1-4节,需要化学实验室，学生人数较多
大学英语,ENG101,周教授,45,2,否,,是,外语系,教学楼A202,周五1-2节,
英语口语,ENG102,吴教授,30,2,否,,是,外语系,教学楼A301,周三5-6节,小班教学
毛泽东思想概论,POL101,"赵教授;刘教授",150,2,否,,是,马克思主义学院,综合楼C101,周五3-4节,公共课，需要大教室
