record_id,source,equation_type,input_params,solution,remark,last_manual_note
DE001,高数组-2024春,一阶线性,"{""P(x)"":""2/x"",""Q(x)"":""x*sin(x)""}",y = (1/x^2) * (sin(x) - x*cos(x) + C),"课堂例题1",
DE002,高数组-2024春,可分离变量,"{""f(x)"":""2x"",""g(y)"":""y""}",(1/2)ln|y| = x^2 + C,课后习题3-2,
DE003,高数组-2024春,二阶常系数齐次,"{""p"":""-3"",""q"":""2""}",y = C1*e^x + C2*e^(2x),例题5.2,"上次确认过特征根 1 和 2"
DE004,高数组-2024春,二阶常系数非齐次,"{""p"":""-3"",""q"":""2"",""f(x)"":""e^(3x)""}",y = C1*e^x + C2*e^(2x) + (1/2)e^(3x),例题6.1,
DE005,高数组-2024春,一阶线性,"{""P(x)"":""1"",""Q(x)"":""e^(-x)""}",y = e^(-x)*(x + C),教材P123,
DE006,高数组-2024春,二阶常系数齐次,"{""p"":""-2"",""q"":""1""}",y = (C1 + C2*x)e^x,重根情况,
DE007,模拟题库-A卷,可分离变量,"{""f(x)"":""3x^2"",""g(y)"":""1/(2y-1)""}",y^2 - y = x^3 + C,模拟题12,
DE008,高数组-2024春,一阶线性,"{""P(x)"":""2/x"",""Q(x)"":""x*sin(x)""}",y = (1/x^2) * (sin(x) - x*cos(x) + C),与DE001重复,
DE009,,一阶线性,"{""P(x)"":""-1"",""Q(x)"":""1""}",y = Ce^x - 1,缺source,
DE010,高数组-2024春,,y = x + C,缺类型,
BAD#ID@,高数组-2024春,二阶常系数齐次,"{""p"":""2"",""q"":""1""}",y = (C1 + C2)e^(-x),"ID格式不对",
DE012,高数组-2024春,未知类型,"{""a"":""1""}",随便写一个解,方程类型不支持,
DE013,高数组-2024春,二阶常系数齐次,"{""p"":""-3"",""q"":""2""}",y = 2*e^x + e^(2x),缺任意常数C1/C2——图上画得顺但通解少了自由度,"业务规则：二阶齐次必须有两个任意常数，上次就是这个问题"
DE014,高数组-2024春,一阶线性,"{""P(x)"":""x"",""Q(x)"":""1""}",y = K + x,没体现积分因子/积分项，看着是个解但不是一阶线性的解,
DE015,高数组-2024春,可分离变量,"{""f(x)"":""1"",""g(y)"":""y""}",y = C,解里没x,
